Category,Attribute,Value
,Ship Abilities,"Sustain Damage. During a space combat, hits produced by this ship and by your dreadnoughts in this system must be assigned to non-fighter ships if able."
Mech,Mech Name,Annihilator
,Mech Cost,2
,Mech Combat,6
,Mech Abilities,"Sustain Damage. BOMBARDMENT 8. While not participating in ground combat, this unit can use its BOMBARDMENT ability on planets in its system as if it were a ship."
Agent,Agent Name,I48S
,Agent Effect,After a player activates a system: You may exhaust this card to allow that player to replace 1 of their infantry in the active system with 1 mech from their reinforcements.
Commander,Commander Name,2RAM
,Commander Unlock,Have 4 dreadnoughts on the game board.
,Commander Effect,Units that have Planetary Shield do not prevent you from using BOMBARDMENT.
Hero,Hero Name,The Helmsman
,Hero Unlock,Have 3 scored objectives.
,Hero Ability Name,Dark Space Navigation
,Hero Effect,"ACTION: Choose 1 system that does not contain other players' ships; you may move your flagship and any number of your dreadnoughts from other systems into the chosen system. Then, purge this card."
,,
Faction Core,Faction Name,Mahact Gene-Sorcerers (POK)
,Home System Name,Ixth
,Home System Planets,3/5
,Commodities,3
Faction Abilities,Ability 1 Name,Edict
,Ability 1 Effect,"When you win a combat, place 1 command token from your opponent's reinforcements in your fleet pool if it does not already contain 1 of that player's tokens; other players' tokens in your fleet pool increase your fleet limit but cannot be redistributed."
,Ability 2 Name,Imperia
,Ability 2 Effect,"While another player's command token is in your fleet pool, you can use the ability of that player's commander, if it's unlocked."
,Ability 3 Name,Hubris
,Ability 3 Effect,"During setup, purge your ""Alliance"" promissory note. Other players cannot give you their ""Alliance"" promissory notes."
Promissory Note,PN Name,Scepter of Dominion
,PN Text,"At the start of the strategy phase: Choose 1 non-home system that contains your units; each other player who has a token on the Mahact player's command sheet places a token from their reinforcements in that system. Then, return this card to the Mahact player."
Starting Assets,Starting Fleet Units,"1 Dreadnought, 1 Carrier, 1 Cruiser, 2 Fighters, 3 Infantry, 1 Space Dock"
,Starting Techs,"Bio-Stims (G), Predictive Intelligence (Y)"
Special Unit (Infantry),Unit Name,Crimson Legionnaire I
,Unit Type,Infantry (Unique)
,Unit Cost,1 (x2)
,Unit Combat,8
,Unit Abilities,"After this unit is destroyed, gain 1 commodity or convert 1 of your commodities to a trade good."
Faction Tech 1,Tech Name,"N/A (No unique Faction Techs, only unit upgrade for infantry)"
,Tech Prerequisite,N/A
Faction Tech 2,Tech Name,N/A
,Tech Prerequisite,N/A
Breakthrough (TE),BT Name,Vaults of the Heir
,BT Prerequisite,Y$\leftrightarrow$G
,BT Effect,ACTION: Exhaust this card and purge 1 of your technologies to gain 1 relic.
Flagship,Ship Name,Arvicon Rex
,Ship Cost,8
,Ship Combat,5 (x2)
,Ship Move,1
,Ship Capacity,3
,Ship Abilities,"Sustain Damage. During combat against an opponent whose command token is not in your fleet pool, apply +2 to the results of this unit's combat rolls."
Mech,Mech Name,Starlancer
,Mech Cost,2
,Mech Combat,6
,Mech Abilities,"Sustain Damage. After a player whose command token is in your fleet pool activates this system, you may spend their token from your fleet pool to end their turn; they gain that token."
Agent,Agent Name,Jae Mir Kan
,Agent Effect,When you would spend a command token during the secondary ability of a strategic ACTION: You may exhaust this card to remove 1 of the active player's command tokens from the board and use it instead.
Commander,Commander Name,Il Na Viroset
,Commander Unlock,Have 2 other factions' command tokens in your fleet pool.
,Commander Effect,"During your tactical actions, you can activate systems that contain your command tokens. If you do, return both command tokens to your reinforcements and end your turn."
Hero,Hero Name,Airo Shir Aur
,Hero Unlock,Have 3 scored objectives.
,Hero Ability Name,Benediction
,Hero Effect,"ACTION: Move all units in the space area of any system to an adjacent system that contains a different player's ships. Space combat is resolved in that system; neither player can retreat or resolve abilities that would move their ships. Then, purge this card."
,,
Faction Core,Faction Name,Mentak Coalition
,Home System Name,Moll Primus
,Home System Planets,4/1
,Commodities,2
Faction Abilities,Ability 1 Name,Ambush
,Ability 1 Effect,"At the start of a space combat, you may roll 1 die for each of up to 2 of your cruisers or destroyers in the system. For each result $\ge$ that ship's combat value produce 1 hit; opponent must assign it to 1 of his ships."
,Ability 2 Name,Pillage
,Ability 2 Effect,"After 1 of your neighbors gains trade goods or resolves a transaction, if he has 3 or more trade goods, you may take 1 of his trade goods or commodities."
Promissory Note,PN Name,Promise of Protection
,PN Text,"ACTION: Place this card faceup in your play area. While this card is in your play area, the Mentak player cannot use his Pillage faction ability against you. If you activate a system that contains 1 or more of the Mentak player's units, return this card to the Mentak player."
Starting Assets,Starting Fleet Units,"1 Carrier, 2 Cruisers, 3 Fighters, 4 Infantry, 1 Space Dock, 1 PDS"
,Starting Techs,"Sarween Tools (0), Plasma Scoring (0)"
Special Unit,Unit Name,None (Unique Destroyer/Cruiser Upgrade only via Breakthrough)
,Unit Type,N/A
Faction Tech 1,Tech Name,Mirror Computing
,Tech Prerequisite,(YYY)
,Tech Effect,"When you spend trade goods, each trade good is worth 2 resources or influence instead of 1."
Faction Tech 2,Tech Name,Salvage Operations
,Tech Prerequisite,(YY)
,Tech Effect,"After you win or lose a space combat, gain 1 trade good; if you won the combat, you may also produce 1 ship in that system of any ship type that was destroyed during the combat."
Breakthrough (TE),BT Name,"The Table's Grace / Corsair (""Cruiser III"")"
,BT Prerequisite,Y$\leftrightarrow$G
,BT Unlock Condition,"If you have the Cruiser II unit upgrade technology, flip this card and place it on top of Cruiser II."
,Corsair Unit Cost,2
,Corsair Unit Combat,6
,Corsair Unit Move,3
,Corsair Unit Capacity,2
,Corsair Unit Abilities,"If the active system contains another player's non-fighter ships, this unit can move through systems that contain other players' ships."
Flagship,Ship Name,Fourth Moon
,Ship Cost,8
,Ship Combat,7 (x2)
,Ship Move,1
,Ship Capacity,3
,Ship Abilities,Sustain Damage. Other players' ships in this system cannot use Sustain Damage.
Mech,Mech Name,Moll Terminus
,Mech Cost,2
,Mech Combat,6
,Mech Abilities,Sustain Damage. Other players' ground forces on this planet cannot use Sustain Damage.
Agent,Agent Name,Suffi An
,Agent Effect,"After the Pillage faction ability is used against another player: You may exhaust this card; if you do, you and that player each draw 1 action card."
Commander,Commander Name,S'ula Mentarion
,Commander Unlock,Have 4 cruisers on the game board.
,Commander Effect,After you win a space combat: You may force your opponent to give you 1 promissory note from their hand.
Hero,Hero Name,"Ipswitch, Loose Cannon"
,Hero Unlock,Have 3 scored objectives.
,Hero Ability Name,Sleeper Cell
,Hero Effect,"At the start of a space combat that you are participating in: You may purge this card; if you do, for each other player's ship that is destroyed during this combat, place 1 ship of that type from your reinforcements in the active system."
,,
Faction Core,Faction Name,Naalu Collective
,Home System Name,Druaa / Maaluuk
,Home System Planets,"3/1, 0/2"
,Commodities,3
Faction Abilities,Ability 1 Name,Telepathic
,Ability 1 Effect,"At the end of the strategy phase, place the Naalu ""0"" token on your strategy card; you are first in initiative order."
,Ability 2 Name,Foresight
,Ability 2 Effect,"After another player moves ships into a system that contains one or more of your ships, you may place 1 token from your strategy pool in an adjacent system that does not contain another player's ships; move your ships from the active system into that system."
Promissory Note,PN Name,Gift of Prescience
,PN Text,"At the end of the Strategy Phase: Place this card faceup in your play area and place the Naalu ""0"" token on your strategy card; you are the first in initiative order. The Naalu player cannot use his Telepathic faction ability during this game round. Return this card to the Naalu player at the end of the status phase."
Starting Assets,Starting Fleet Units,"1 Carrier, 1 Cruiser, 1 Destroyer, 3 Fighters, 4 Infantry, 1 Space Dock, 1 PDS"
,Starting Techs,"Sarween Tools (0), Neural Motivator (0)"
Special Unit (Fighter),Unit Name,Hybrid Crystal Fighter I
,Unit Type,Fighter (Unique)
,Unit Cost,1 (x2)
,Unit Combat,8
Faction Tech 1,Tech Name,Hybrid Crystal Fighter II
,Tech Prerequisite,(GB)
,Tech Type,Fighter Upgrade
,Tech Combat,7
,Tech Move,2
,Tech Abilities,This unit may move without being transported. Each fighter in excess of your ships' capacity counts as 1/2 of a ship against your fleet pool.
Faction Tech 2,Tech Name,Neuroglaive
,Tech Prerequisite,(GGG)
,Tech Effect,"After another player activates a system that contains 1 or more of your ships, that player removes 1 token from his fleet pool and returns it to his reinforcements."
Breakthrough (TE),BT Name,Mindsieve
,BT Prerequisite,R$\leftrightarrow$G
,BT Effect,"When you would resolve the secondary ability of another player's strategy card, you may give them a promissory note to resolve it without spending a command token."
Flagship,Ship Name,Matriarch
,Ship Cost,8
,Ship Combat,9 (x2)
,Ship Move,1
,Ship Capacity,6
,Ship Abilities,"Sustain Damage. During an invasion in this system, you may commit fighters to planets as if they were ground forces. When combat ends, return those units to the space area."
Mech (TE),Mech Name,Iconoclast $\Omega$
,Mech Cost,2
,Mech Combat,6
,Mech Abilities,"Sustain Damage. DEPLOY: When another player gains a relic, place 1 mech on any planet you control."
Agent (TE),Agent Name,Z'eu $\Omega$
,Agent Effect,After any player's command token is placed in a system: You may exhaust this card to return that token to that player's reinforcements.
Commander (Codex 3),Commander Name,M'aban $\Omega$
,Commander Unlock,Have ground forces in or adjacent to the Mecatol Rex system.
,Commander Effect,At any time: You may look at your neighbors' hands of promissory notes and the top and bottom card of the agenda deck.
Hero (Codex 3),Hero Name,The Oracle
,Hero Unlock,Have 3 scored objectives.
,Hero Ability Name,C-Radium Geometry
,Hero Effect,"At the end of the status phase: You may force each other player to give you 1 promissory note from their hand. If you do, purge this card."
,,
Faction Core,Faction Name,Naaz-Rokha Alliance
,Home System Name,Naazir / Rokha
,Home System Planets,"2/1, 1/2"
,Commodities,3
Faction Abilities,Ability 1 Name,Distant Suns
,Ability 1 Effect,"When you explore a planet that contains 1 of your mechs, you may draw 1 additional card; choose 1 to resolve and discard the rest."
,Ability 2 Name,Fabrication
,Ability 2 Effect,ACTION: Either purge 2 of your relic fragments of the same type to gain 1 relic or purge 1 of your relic fragments to gain 1 command token.
Promissory Note,PN Name,Black Market Forgery
,PN Text,"ACTION: Purge 2 of your relic fragments of the same type to gain 1 relic. Then, return this card to the Naaz-Rokha player."
Starting Assets,Starting Fleet Units,"2 Carriers, 1 Destroyer, 2 Fighters, 1 Mech, 3 Infantry, 1 Space Dock"
,Starting Techs,"Psychoarchaeology (0), AI Development Algorithm (0)"
Special Unit (Mech - Dual-Sided),Unit Name,Eidolon / Z-Grav Eidolon
,Unit Type,"Mech (Dual-Sided, Ground/Space)"
,Eidolon (Faceup) Combat,6 (x2)
,Z-Grav Eidolon (Facedown) Combat,8 (x2)
,Z-Grav Abilities,"If this unit is in the space area of the active system, it is also a ship. At the end of a space battle, flip this card."
Faction Tech 1,Tech Name,Pre-Fab Arcologies
,Tech Prerequisite,(GGG)
,Tech Effect,"After you explore a planet, ready that planet."
Faction Tech 2,Tech Name,Supercharge
,Tech Prerequisite,(R)
,Tech Effect,"At the start of a combat round, you may exhaust this card to apply +1 to the result of each of your unit's combat rolls during this combat round."
Breakthrough (TE),BT Name,Absolute Synergy / Eidolon Maximum
,BT Prerequisite,B$\leftrightarrow$G
,BT Unlock Condition,"When you have 4 mechs in the same system, you may return 3 of those mechs to your reinforcements to flip this card."
,Eidolon Max Combat/Move,"Combat 4 (x4), Move 3"
,Eidolon Max Abilities,"This unit is both a ship and ground force. Cannot be assigned hits from unit abilities. Repair it at the start of every combat round. Game effects cannot place or produce your mechs. When destroyed, flip this card and return it to your play area. SUSTAIN DAMAGE."
Flagship,Ship Name,Visz El Vir
,Ship Cost,8
,Ship Combat,9 (x2)
,Ship Move,1
,Ship Capacity,4
,Ship Abilities,Sustain Damage. Your mechs in this system roll 1 additional die during combat.
Agent,Agent Name,Garv and Gunn
,Agent Effect,At the end of a player's turn: You may exhaust this card to allow that player to explore 1 of their planets.
Commander,Commander Name,Dart and Tai
,Commander Unlock,Have mechs in 3 systems.
,Commander Effect,After you gain control of a planet that was controlled by another player: You may explore that planet.
Hero,Hero Name,Hesh and Prit
,Hero Unlock,Have 3 scored objectives.
,Hero Ability Name,Perfect Synthesis
,Hero Effect,"ACTION: Gain 1 relic and perform the secondary ability of up to 2 readied or unchosen strategy cards; during this action, spend command tokens from your reinforcements instead of your strategy pool. Then, purge this card."
,,
Faction Core,Faction Name,Nekro Virus
,Home System Name,Mordai II
,Home System Planets,4/0
,Commodities,3
Faction Abilities,Ability 1 Name,Galactic Threat
,Ability 1 Effect,"You cannot vote on agendas. Once per agenda phase, after an agenda is revealed, you may predict aloud the outcome of that agenda. If your prediction is correct, gain 1 technology that is owned by a player who voted how you predicted."
,Ability 2 Name,Technology Singularity
,Ability 2 Effect,"Once per combat, after 1 of your opponent's units is destroyed, you may gain 1 technology that is owned by that player."
,Ability 3 Name,Propagation
,Ability 3 Effect,"You cannot research technology. When you would research a technology, gain 3 command tokens instead."
Promissory Note,PN Name,Antivirus
,PN Text,"At the start of a combat: Place this card faceup in your play area. While this card is in your play area, the Nekro player cannot use his Technological Singularity faction ability against you. If you activate a system that contains 1 or more of the Nekro player's units, return this card to the Nekro player."
Starting Assets,Starting Fleet Units,"1 Dreadnought, 1 Carrier, 1 Cruiser, 2 Fighters, 2 Infantry, 1 Space Dock"
,Starting Techs,"Dacxive Animators (G), Valefar Assimilator X, Valefar Assimilator Y"
Special Unit,Unit Name,None
,Unit Type,N/A
Faction Tech 1,Tech Name,Valefactor Assimilator X
,Tech Prerequisite,N/A (Starts with it)
,Tech Effect,"When you gain another player's technology using 1 of your faction abilities, you may place the ""X"" assimilator token on a faction technology owned by that player instead. While that token is on a technology, this card gains that technology's text. You cannot place an assimilator token on technology that already has an assimilator token."
Faction Tech 2,Tech Name,Valefactor Assimilator Y
,Tech Prerequisite,N/A (Starts with it)
,Tech Effect,"(Same text as X, with ""Y"" token instead)."
Breakthrough (TE),BT Name,Valefar Assimilator Z
,BT Prerequisite,N/A (Unique Unlock)
,BT Effect,"When you would gain another player's technology using one of your faction abilities, you may instead place one of your ""Z"" assimilator tokens on that player's faction sheet. Your flagship gains the text abilities of that faction's flagship in addition to its own."
Flagship,Ship Name,The Alastor
,Ship Cost,8
,Ship Combat,9 (x2)
,Ship Move,1
,Ship Capacity,3
,Ship Abilities,"Sustain Damage. At the start of a space combat, choose any number of your ground forces in this system to participate in that combat as if they were ships."
Mech,Mech Name,Mordred
,Mech Cost,2
,Mech Combat,6
,Mech Abilities,"Sustain Damage. During combat against an opponent who has an ""X"" or ""Y"" token on 1 or more of their technologies, apply +2 to the result of each of this unit's combat rolls."
Agent,Agent Name,Nekro Malleon
,Agent Effect,During the action phase: You may exhaust this card to choose a player; that player may discard 1 action card or spend 1 command token from their command sheet to gain 2 trade goods.
Commander,Commander Name,Nekro Acidos
,Commander Unlock,"Own 3 technologies. A ""Valefar Assimilator"" technology counts only if its X or Y token is on a technology."
,Commander Effect,After you gain a technology: You may draw 1 action card.
Hero,Hero Name,UNIT.DSGN.FLAYESH
,Hero Unlock,Have 3 scored objectives.
,Hero Ability Name,Polymorphic Algorithm
,Hero Effect,"ACTION: Choose a planet that has a technology specialty in a system that contains your units. Destroy any other player's units on that planet. Gain trade goods equal to the planet's combined resource and influence values and gain 1 technology that matches the specialty of that planet. Then, purge this card."
,,
Faction Core,Faction Name,Nomad (POK)
,Home System Name,Arcturus
,Home System Planets,4/4
,Commodities,"4, 0 (Note: The user's sheet lists ""4,0"")"
Faction Abilities,Ability 1 Name,The Company
,Ability 1 Effect,"During setup, take the 2 additional Nomad faction agents and place them next to your faction sheet; you have 3 agents."
,Ability 2 Name,Future Sight
,Ability 2 Effect,"During the agenda phase, after an outcome you voted for or predicted is resolved, gain 1 trade good."
Promissory Note,PN Name,The Cavalry
,PN Text,"At the start of a space combat against a player other than the Nomad: During this combat, treat 1 of your non-fighter ships as if it has the Sustain Damage ability, combat value, and ANTI-FIGHTER BARRAGE value of the Nomad's flagship. Return this card to the Nomad player at the end of the combat."
Starting Assets,Starting Fleet Units,"1 Flagship, 1 Carrier, 1 Destroyer, 3 Fighters, 4 Infantry, 1 Space Dock"
,Starting Techs,Sling Relay (B)
Special Unit,Unit Name,None (Flagship has a unique upgrade)
,Unit Type,N/A
Faction Tech 1,Tech Name,Memoria II
,Tech Prerequisite,(GBY)
,Tech Type,Flagship Upgrade
,Tech Cost,8
,Tech Combat,5 (x2)
,Tech Move,2
,Tech Capacity,6
,Tech AFB,5 (x3)
,Tech Abilities,Sustain Damage. You may treat this unit as if it were adjacent to systems that contain 1 or more of your mechs.
Faction Tech 2,Tech Name,Temporal Command Suite
,Tech Prerequisite,(Y)
,Tech Effect,"After any player's agent becomes exhausted, you may exhaust this card to ready that agent; if you ready another player's agent, you may perform a transaction with that player."
Breakthrough (TE),BT Name,Thunder's Paradox
,BT Prerequisite,Y$\leftrightarrow$G
,BT Effect,"At the start of any player's turn, you may exhaust 1 of your agents to ready any other agent."
Flagship,Ship Name,Memoria I
,Ship Cost,8
,Ship Combat,7 (x2)
,Ship Move,1
,Ship Capacity,3
,Ship AFB,8 (x3)
,Ship Abilities,Sustain Damage. You may treat this unit as if it were adjacent to systems that contain 1 or more of your mechs.
Mech,Mech Name,Quantum Manipulator
,Mech Cost,2
,Mech Combat,6
,Mech Abilities,"Sustain Damage. While this unit is in a space area during combat, you may use its Sustain Damage ability to cancel a hit that is produced against your ships in this system."
Agent 1,Agent Name,The Thundarian
,Agent Effect,"After the ""Roll Dice"" step of combat: You may exhaust this card. If you do, hits are not assigned to either player's units. Return to the start of this combat round's ""Roll Dice"" step."
Agent 2,Agent Name,Artuno the Betrayer
,Agent Effect,"When you gain trade goods from the supply: You may exhaust this card to place an equal number of trade goods on this card. When this card readies, gain the trade goods on this card."
Agent 3,Agent Name,Field Marshal Mercer
,Agent Effect,At the end of a player's turn: You may exhaust this card to allow that player to remove 2 of their ground forces from the game board and place them on planets they control in the active system.
Commander,Commander Name,Navarch Feng
,Commander Unlock,Have 1 scored secret objective.
,Commander Effect,You can produce your flagship without spending resources.
Hero,Hero Name,Ahk-Syl Siven
,Hero Unlock,Have 3 scored objectives.
,Hero Ability Name,Probability Matrix
,Hero Effect,"ACTION: Place this card near the game board; your flagship and units it transports can move out of systems that contain your command tokens during this game round. At the end of that game round, purge this card."
,,
Faction Core,Faction Name,Sardakk N'orr
,Home System Name,Tren'Lak / Quinarra
,Home System Planets,"1/0, 3/1"
,Commodities,3
Faction Abilities,Ability 1 Name,Unrelenting
,Ability 1 Effect,Apply +1 to the result of each of your unit's combat rolls.
Promissory Note,PN Name,Tekklar Legion
,PN Text,"At the start of an invasion combat: Apply +1 to the result of each of your unit's combat rolls during this combat. If your opponent is the N'orr player, apply -1 to the result of each of his unit's combat rolls during this combat. Then, return this card to the N'orr player."
Starting Assets,Starting Fleet Units,"2 Carriers, 1 Cruiser, 5 Infantry, 1 Space Dock, 1 PDS"
,Starting Techs,None
Special Unit (Dreadnought),Unit Name,Exotrireme I
,Unit Type,Dreadnought (Unique)
,Unit Cost,4
,Unit Combat,5
,Unit Move,1
,Unit Capacity,1
,Unit Bombardment,4 (x2)
,Unit Abilities,Sustain Damage.
Faction Tech 1,Tech Name,Exotrireme II
,Tech Prerequisite,(BBY)
,Tech Type,Dreadnought Upgrade
,Tech Combat,5
,Tech Move,2
,Tech Bombardment,4 (x2)
,Tech Abilities,"Sustain Damage. This unit cannot be destroyed by ""Direct Hit"" action cards. After a round of space combat, you may destroy this unit to destroy up to 2 ships in this system."
Faction Tech 2,Tech Name,Valkyrie Particle Weave
,Tech Prerequisite,(RR)
,Tech Effect,"After making combat rolls during a round of ground combat, if your opponent produced 1 or more hits, you produce 1 additional hit."
Breakthrough (TE),BT Name,N'orr Supremacy
,BT Prerequisite,B$\leftrightarrow$R
,BT Effect,"After you win a combat, either gain 1 command token or research a unit upgrade technology."
Flagship,Ship Name,C'Morran N'orr
,Ship Cost,8
,Ship Combat,6 (x2)
,Ship Move,1
,Ship Capacity,3
,Ship Abilities,Sustain Damage. Apply +1 to the result of each of your other ship's combat rolls in this system.
Mech,Mech Name,Valkyrie Exoskeleton
,Mech Cost,2
,Mech Combat,6
,Mech Abilities,"Sustain Damage. After this unit uses its Sustain Damage ability during ground combat, it produces 1 hit against your opponent's ground forces on this planet."
Agent,Agent Name,T'ro
,Agent Effect,"At the end of a player's tactical ACTION: You may exhaust this card; if you do, that player may place 2 infantry from their reinforcements on a planet they control in the active system."
Commander,Commander Name,G'hom Sek'kus
,Commander Unlock,Control 5 planets in non-home systems.
,Commander Effect,"During the ""Commit Ground Forces"" step: You can commit up to 1 ground force from each planet in the active system and each planet in adjacent systems that do not contain 1 of your command tokens."
Hero,Hero Name,"Sh'val, Harbinger"
,Hero Unlock,Have 3 scored objectives.
,Hero Ability Name,Tekklar Conditioning
,Hero Effect,"After you move ships into the active system: You may skip directly to the ""Commit Ground Forces"" step. If you do, after you commit ground forces to land on planets, purge this card and return each of your ships in the active system to your reinforcements."
,,
Faction Core,Faction Name,Titans of Ul
,Home System Name,Elysium
,Home System Planets,4/1
,Commodities,2
Faction Abilities,Ability 1 Name,Terragenesis
,Ability 1 Effect,"After you explore a planet that does not have a sleeper token, you may place or move 1 sleeper token onto that planet."
,Ability 2 Name,Awaken
,Ability 2 Effect,"After you activate a system that contains 1 or more of your sleeper tokens, you may replace each of those tokens with 1 PDS from your reinforcements."
,Ability 3 Name,Coalescence
,Ability 3 Effect,"If your flagship or your Awaken faction ability places units into the same space area or onto the same planet as another player's units, your units must participate in combat during the ""Space Combat"" or ""Ground Combat"" steps."
Promissory Note,PN Name,Terraform
,PN Text,"ACTION: Attach this card to a non-home planet you control other than Mecatol Rex. Its resource and influence values are each increased by 1, and it is treated as having all 3 planet traits (cultural, hazardous, and industrial)."
Starting Assets,Starting Fleet Units,"1 Dreadnought, 2 Cruisers, 2 Fighters, 3 Infantry, 1 Space Dock"
,Starting Techs,"Antimass Deflectors (0), Scanlink Drone Network (0)"
Special Unit 1 (Cruiser),Unit Name,Saturn Engine I
,Unit Type,Cruiser (Unique)
,Unit Cost,2
,Unit Combat,7
,Unit Move,2
,Unit Capacity,1
Special Unit 2 (PDS/GF),Unit Name,Hel-Titan I
,Unit Type,"PDS (Unique, Structure/Ground Force)"
,Unit Combat,7
,Unit Abilities,Planetary Shield. Sustain Damage. SPACE CANNON 6. PRODUCTION 1. This unit is treated as both a structure and a ground force. It cannot be transported.
Faction Tech 1,Tech Name,Saturn Engine II
,Tech Prerequisite,(GYR)
,Tech Type,Cruiser Upgrade
,Tech Cost,2
,Tech Combat,6
,Tech Move,3
,Tech Capacity,2
,Tech Abilities,Sustain Damage.
Faction Tech 2,Tech Name,Hel-Titan II
,Tech Prerequisite,(YR)
,Tech Type,PDS Upgrade
,Tech Combat,6
,Tech Abilities,Planetary Shield. Sustain Damage. SPACE CANNON 5. PRODUCTION 1. This unit is treated as both a structure and a ground force. It cannot be transported. You may use this unit's SPACE CANNON against ships that are adjacent to this unit's system.
Breakthrough (TE),BT Name,Slumberstate Computing
,BT Prerequisite,Y$\leftrightarrow$G
,BT Effect (Coexistence),"When COALESCENCE results in a ground combat, if you commit no other units, you may choose for your units to coexist instead. During the status phase, for each player you are coexisting with, you and that player each draw 1 additional action card."
,BT Effect (Sleeper Token),Other players may allow you to place a sleeper token on a planet they control.
Flagship,Ship Name,Ouranos
,Ship Cost,8
,Ship Combat,7 (x2)
,Ship Move,1
,Ship Capacity,3
,Ship Abilities,"Sustain Damage. DEPLOY: After you activate a system that contains 1 or more of your PDS, you may replace 1 of those PDS with this unit."
Mech,Mech Name,Hecatoncheires
,Mech Cost,2
,Mech Combat,6
,Mech Abilities,"Sustain Damage. DEPLOY: When you would place a PDS on a planet, you may place 1 mech and 1 infantry on that planet instead."
Agent,Agent Name,Tellurian
,Agent Effect,When a hit is produced against a unit: You may exhaust this card to cancel that hit.
Commander,Commander Name,Tungstantus
,Commander Unlock,Have 5 structures on the game board.
,Commander Effect,When 1 or more of your units use PRODUCTION: You may gain 1 trade good.
Hero,Hero Name,Ul the Progenitor
,Hero Unlock,Have 3 scored objectives.
,Hero Ability Name,Geoform
,Hero Effect,"ACTION: Ready Elysium and attach this card to it. Its resource and influence values are each increased by 3, and it gains the SPACE CANNON 5 (x3) ability as if it were a unit."
,,
Faction Core,Faction Name,Universities of Jol-Nar
,Home System Name,Jol / Nar
,Home System Planets,"1/2, 2/3"
,Commodities,4
Faction Abilities,Ability 1 Name,Fragile
,Ability 1 Effect,Apply -1 to the result of each of your unit's combat rolls.
,Ability 2 Name,Brilliant
,Ability 2 Effect,"When you spend a command token to resolve the secondary ability of the ""Technology"" strategy card, you may resolve the primary ability instead."
,Ability 3 Name,Analytical
,Ability 3 Effect,"When you research a technology that is not a unit upgrade technology, you may ignore 1 prerequisite."
Promissory Note,PN Name,Research Agreement
,PN Text,"After the Jol-Nar player researches a technology that is not a faction technology: Gain that technology. Then, return this card to the Jol-Nar player."
Starting Assets,Starting Fleet Units,"1 Dreadnought, 2 Carriers, 1 Fighter, 2 Infantry, 1 Space Dock, 2 PDS"
,Starting Techs,"Neural Motivator (0), Antimass Deflector (0), Sarween Tools (0), Plasma Scoring (0)"
Special Unit,Unit Name,None
,Unit Type,N/A
Faction Tech 1,Tech Name,Spacial Conduit Cylinder
,Tech Prerequisite,(BB)
,Tech Effect,You may exhaust this card after you activate a system that contains 1 or more of your units; that system is adjacent to all other systems that contain 1 or more of your units during this activation.
Faction Tech 2,Tech Name,E-Res Siphons
,Tech Prerequisite,(YY)
,Tech Effect,"After another player activates a system that contains 1 or more of your ships, gain 4 trade goods."
Breakthrough (TE),BT Name,Specialized Compounds
,BT Prerequisite,Y$\leftrightarrow$G
,BT Effect,"When you research technology using the ""Technology"" strategy card, you may exhaust a planet that has a technology specialty instead of spending resources; if you do, you must research a technology of that color."
Flagship,Ship Name,J.N.S. Hylarim
,Ship Cost,8
,Ship Combat,6 (x2)
,Ship Move,1
,Ship Capacity,3
,Ship Abilities,"Sustain Damage. When making a combat roll for this ship, each result of 9 or 10, before applying modifiers, produces 2 additional hits."
Mech,Mech Name,Shield Paling
,Mech Cost,2
,Mech Combat,6
,Mech Abilities,Sustain Damage. Your infantry on this planet are not affected by your Fragile faction ability.
Agent,Agent Name,Doctor Sucaban
,Agent Effect,"When a player spends resources to research: You may exhaust this card to allow that player to remove any number of their infantry from the game board. For each unit removed, reduce the resources spent by 1."
Commander,Commander Name,Ta Zern
,Commander Unlock,Own 8 technologies.
,Commander Effect,After you roll dice for a unit ability: You may reroll any of those dice.
Hero,Hero Name,"Rin, the Master's Legacy"
,Hero Unlock,Have 3 scored objectives.
,Hero Ability Name,Genetic Memory
,Hero Effect,"ACTION: For each non-unit upgrade technology you own, you may replace that technology with any technology of the same color from the deck. Then, purge this card."
,,
Faction Core,Faction Name,Vuil'raith Cabal
,Home System Name,Acheron
,Home System Planets,4/0
,Commodities,2
Faction Abilities,Ability 1 Name,Devour
,Ability 1 Effect,Capture your opponent's non-structure units that are destroyed during combat.
,Ability 2 Name,Amalgamation
,Ability 2 Effect,"When you produce a unit, you may return 1 captured unit of that type to produce that unit without spending resources."
,Ability 3 Name,Riftmeld
,Ability 3 Effect,"When you research a unit upgrade technology, you may return 1 captured unit of that type to ignore all of that technology's prerequisites."
Promissory Note,PN Name,Crucible
,PN Text,"After you activate a system: Your ships do not roll for gravity rifts during this movement; apply an additional +1 to the move values of your ships that would move out of or through a gravity rift instead. Then, return this card to the Vuil'raith player."
Starting Assets,Starting Fleet Units,"1 Dreadnought, 1 Carrier, 1 Cruiser, 3 Fighters, 3 Infantry, 1 Space Dock"
,Starting Techs,Self-Assembly Routines (R)
Special Unit (Space Dock),Unit Name,Dimensional Tear I
,Unit Type,"Space Dock (Unique, Rift)"
,Unit Production,5
,Unit Abilities,This system is a gravity rift; your ships do not roll for this gravity rift. Up to 6 fighters in this system do not count against your ships' capacity.
Faction Tech 1,Tech Name,Dimensional Tear II
,Tech Prerequisite,(YY)
,Tech Type,Space Dock Upgrade
,Tech Production,7
